Name,Rank,Salary,Year,Draft Year,Draft Round,Draft Pick Position,Position,School
Walt Williams,62,"$3,750,000",2000,1992,1,7,SF,Maryland 
Sam Cassell,64,"$3,500,000",2000,1993,1,24,PG,Florida State
Michael Olowokandi,65,"$3,456,000",2000,1998,1,1,C,Pacific
Elton Brand,66,"$3,375,000",2000,1999,1,1,PF/C,Duke
Eric Williams,67,"$3,336,000",2000,1995,1,14,SF,Providence
Travis Best,68,"$3,250,000",2000,1995,1,23,PG,Georgia Tech
Derek Strong,70,"$3,159,000",2000,1990,2,47,F,Xavier
Mike Bibby,71,"$3,092,000",2000,1998,1,2,PG,Arizona
Rick Fox,72,"$3,033,000",2000,1991,1,24,SF,North Carolina
Steve Francis,73,"$3,020,000",2000,1999,1,2,PG,Maryland
Derek Fisher,74,"$3,000,000",2000,1996,1,24,G,Arkansas-Little Rock
Eric Snow,74,"$3,000,000",2000,1995,2,43,PG,Michigan State
Ervin Johnson,76,"$2,951,000",2000,1993,1,23,C,New Orleans
Brent Price,77,"$2,944,000",2000,1992,2,32,G,Oklahoma
Travis Knight,78,"$2,800,000",2000,1996,1,29,C,Connecticut
Raef LaFrentz,79,"$2,777,000",2000,1998,1,3,C/F,Kansas
Tracy Murray,80,"$2,720,000",2000,1992,1,18,SF,UCLA 
Baron Davis,82,"$2,712,000",2000,1999,1,3,PG,UCLA
Vonteego Cummings,83,"$2,600,000",2000,1999,1,26,PG,Pittsburgh
Dean Garrett,84,"$2,520,000",2000,1988,2,38,C,Indiana
Antawn Jamison,86,"$2,503,000",2000,1998,1,4,F,North Carolina
Walter McCarty,87,"$2,500,000",2000,1996,1,19,F,Kentucky
Anthony Peeler,88,"$2,495,000",2000,1992,1,15,SG,Missouri 
Lamar Odom,89,"$2,445,000",2000,1999,1,4,PF/SF,Rhode Island
Lawrence Funderburke,90,"$2,400,000",2000,1994,2,51,PF,Ohio State
Lindsey Hunter,92,"$2,350,000",2000,1993,1,10,PG,Jackson State
Malik Rose,93,"$2,285,000",2000,1996,2,44,F,Drexel
Vince Carter,94,"$2,267,000",2000,1998,1,5,G/F,North Carolina
Jonathan Bender,95,"$2,214,000",2000,1999,1,5,PF,Picayune Memorial HS
Dell Curry,96,"$2,100,000",2000,1986,1,15,SG/SF,Virginia Tech
Robert Traylor,97,"$2,059,000",2000,1998,1,6,F/C,Michigan
Othella Harrington,98,"$2,025,000",2000,1996,2,30,F/C,Georgetown
Wally Szczerbiak,99,"$2,011,000",2000,1999,1,6,SG/SF,Miami (OH)
Terry Porter,102,"$2,000,000",2000,1985,1,24,PG,Wisconsin–Stevens Point
Rodney Rogers,102,"$2,000,000",2000,1993,1,9,PF,Wake Forest
Jamie Feick,102,"$2,000,000",2000,1996,2,48,F,Michigan State
Eric Montross,102,"$2,000,000",2000,1994,1,9,C,North Carolina
Chris Crawford,102,"$2,000,000",2000,1997,2,50,SF,Marquette
Steve Kerr,105,"$1,968,000",2000,1988,2,50,PG,Arizona
Sean Rooks,107,"$1,920,000",2000,1992,2,30,PF/C,Arizona
Lucious Harris,107,"$1,920,000",2000,1993,2,28,PG,Long Beach State
Jason Williams,109,"$1,879,000",2000,1998,1,7,PG,Florida
Richard Hamilton,110,"$1,836,000",2000,1999,1,7,SG/SF,Connecticut
Larry Hughes,111,"$1,722,000",2000,1998,1,8,SG,Saint Louis
Andre Miller,112,"$1,682,000",2000,1999,1,8,PG,Utah
Dirk Nowitzki,113,"$1,583,000",2000,1998,1,9,PF,DJK Würzburg
Shawn Marion,114,"$1,546,000",2000,1999,1,9,SF/PF,UNLV
Paul Pierce,115,"$1,503,000",2000,1998,1,10,G/F,Kansas
Jason Terry,116,"$1,468,000",2000,1999,1,10,SG/PG,Arizona
Bonzi Wells,117,"$1,428,000",2000,1998,1,11,G/F,Ball State
Trajan Langdon,118,"$1,394,000",2000,1999,1,11,SG,Duke
Keon Clark,120,"$1,289,000",2000,1998,1,13,F/C,UNLV
Corey Maggette,121,"$1,259,000",2000,1999,1,13,SF/SG,Duke
Michael Dickerson,122,"$1,224,000",2000,1998,1,14,SG,Arizona
Matt Harpring,124,"$1,163,000",2000,1998,1,15,F/G,Georgia Tech
Cal Bowdler,128,"$1,025,000",2000,1999,1,17,PF,Old Dominion
James Posey,129,"$974,000",2000,1999,1,18,SG/SF,Xavier
Pat Garrity,130,"$952,000",2000,1998,1,19,PF,Notre Dame
Quincy Lewis,131,"$930,000",2000,1999,1,19,SF,Minnesota
Roshown McLeod,132,"$914,000",2000,1998,1,20,SF,Duke
Dion Glover,133,"$893,000",2000,1999,1,20,SG,Georgia Tech
Ricky Davis,134,"$878,000",2000,1998,1,21,G/F,Iowa
Greg Foster,135,"$857,000",2000,1990,2,35,F/C,UTEP
Jeff Foster,135,"$857,000",2000,1999,1,21,PF,Southwest Texas State
Brian Skinner,137,"$843,000",2000,1998,1,22,F/C,Baylor
Kenny Thomas,138,"$823,000",2000,1999,1,22,PF,New Mexico
Devean George,139,"$790,000",2000,1999,1,23,SF,Augsburg
Al Harrington,140,"$745,000",2000,1998,1,25,F,St. Patrick's High School
Tim James,141,"$728,000",2000,1999,1,25,SF,Miami
Jumaine Jones,142,"$684,000",2000,1999,1,27,SF,Georgia
Scott Padgett,143,"$679,000",2000,1999,1,28,PF,Kentucky
Rafer Alston,144,"$301,000",2000,1998,2,39,PG,Fresno State
Kevin Garnett,1,"$19,610,000",2001,1995,1,5,PF,Farragut Academy HS
Shaquille O'Neal,2,"$19,285,715",2001,1992,1,1,C,LSU 
Alonzo Mourning,3,"$16,880,000",2001,1992,1,2,C,Georgetown 
Juwan Howard,4,"$16,875,000",2001,1994,1,5,PF,Michigan
Karl Malone,6,"$15,750,000",2001,1985,1,13,PF,Louisiana Tech
David Robinson,7,"$14,700,000",2001,1987,1,1,C,Navy
Dikembe Mutombo,8,"$14,400,000",2001,1991,1,4,C,Georgetown
Patrick Ewing,9,"$14,000,000",2001,1985,1,1,C,Georgetown
Jayson Williams,10,"$13,800,000",2001,1990,1,21,PF/C,St. John's
Scottie Pippen,11,"$13,750,000",2001,1987,1,5,SF,Central Arkansas
Rasheed Wallace,12,"$12,600,000",2001,1995,1,4,PF,North Carolina
Gary Payton,13,"$12,200,000",2001,1990,1,2,PG,Oregon State
Chris Webber,14,"$12,000,000",2001,1993,1,1,PF/C,Michigan
Shawn Kemp,16,"$11,720,000",2001,1989,1,17,PF/C,Trinity Valley CC
Damon Stoudamire,17,"$11,250,000",2001,1995,1,7,PG,Arizona
Arvydas Sabonis,17,"$11,250,000",2001,1986,1,24,C,Zalgiris
Larry Johnson,19,"$11,000,000",2001,1991,1,1,PF,UNLV
John Stockton,19,"$11,000,000",2001,1984,1,16,G,Gonzaga
Antonio McDyess,21,"$10,800,000",2001,1995,1,2,PF,Alabama
Reggie Miller,22,"$10,670,000",2001,1987,1,11,SG,UCLA
Ray Allen,27,"$10,130,000",2001,1996,1,5,G,Connecticut
Antoine Walker,27,"$10,130,000",2001,1996,1,6,F,Kentucky
Stephon Marbury,27,"$10,130,000",2001,1996,1,4,G,Georgia Tech
Kobe Bryant,27,"$10,130,000",2001,1996,1,13,G,Lower Merion HS
Shareef Abdur-Rahim,27,"$10,130,000",2001,1996,1,3,F,California
Vin Baker,27,"$10,130,000",2001,1993,1,8,PF,Hartford
Allen Iverson,27,"$10,130,000",2001,1996,1,1,G,Georgetown
Latrell Sprewell,32,"$10,125,000",2001,1992,1,24,SG,Alabama 
Bryant Reeves,33,"$10,110,000",2001,1995,1,6,C,Oklahoma State
Mitch Richmond,34,"$10,000,000",2001,1988,1,5,SG,Kansas State
Rod Strickland,34,"$10,000,000",2001,1988,1,19,PG,DePaul
Tim Duncan,37,"$9,660,000",2001,1997,1,1,PF/C,Wake Forest
Jalen Rose,37,"$9,660,000",2001,1994,1,13,G/F,Michigan
Grant Hill,37,"$9,660,000",2001,1994,1,3,SF,Duke
Tracy McGrady,37,"$9,660,000",2001,1997,1,9,SG/SF,Mt. Zion Christian Academy
Vlade Divac,40,"$9,640,000",2001,1989,1,26,C,KK Partizan 
Tom Gugliotta,41,"$9,360,000",2001,1992,1,6,PF,NC State 
Allan Houston,43,"$9,000,000",2001,1993,1,11,SG,Tennessee
Eddie Jones,45,"$8,960,000",2001,1994,1,10,SG,Temple
Brian Grant,46,"$8,900,000",2001,1994,1,8,PF,Xavier
Tim Thomas,47,"$8,510,000",2001,1997,1,7,SF,Villanova
Michael Finley,48,"$8,400,000",2001,1995,1,21,SF/SG,Wisconsin
Shawn Bradley,49,"$8,370,000",2001,1993,1,2,C,BYU
Terrell Brandon,50,"$8,330,000",2001,1991,1,11,PG,Oregon
Glenn Robinson,51,"$8,120,000",2001,1994,1,1,SF,Purdue
Steve Smith,52,"$8,100,000",2001,1991,1,5,SG,Michigan State
Elden Campbell,53,"$8,050,000",2001,1990,1,27,PF/C,Clemson
Danny Manning,54,"$8,030,000",2001,1988,1,1,PF,Kansas
Derrick Coleman,55,"$8,000,000",2001,1990,1,1,PF/C,Syracuse
Theo Ratliff,57,"$7,800,000",2001,1995,1,18,PF/C,Wyoming
Kerry Kittles,58,"$7,770,000",2001,1996,1,8,G,Villanova
Jason Kidd,59,"$7,680,000",2001,1994,1,2,PG,California
Glen Rice,60,"$7,578,900",2001,1989,1,4,SF,Michigan 
Kenny Anderson,61,"$7,520,000",2001,1991,1,2,PG,Georgia Tech
Matt Geiger,62,"$7,515,840",2001,1992,2,42,C,Georgia Tech
Tyrone Hill,63,"$7,300,000",2001,1990,1,11,PF,Xavier
Kendall Gill,64,"$7,000,000",2001,1990,1,5,SG,Illinois
Christian Laettner,66,"$6,625,000",2001,1992,1,3,PF,Duke 
Horace Grant,67,"$6,500,000",2001,1987,1,10,PF/C,Clemson
Jamal Mashburn,68,"$6,200,000",2001,1993,1,4,SF,Kentucky
Dale Davis,70,"$6,000,000",2001,1991,1,13,PF,Clemson
Bryant Stith,72,"$5,920,000",2001,1992,1,13,SG,Virginia 
Alan Henderson,73,"$5,910,000",2001,1995,1,16,PF,Indiana
Charles Oakley,74,"$5,760,000",2001,1985,1,9,PF,Virginia Union
Marcus Camby,75,"$5,750,000",2001,1996,1,2,C,Massachusetts
Luc Longley,75,"$5,750,000",2001,1991,1,7,C,New Mexico
Jermaine O'Neal,78,"$5,710,000",2001,1996,1,17,F/C,Eau Claire HS 
Donyell Marshall,79,"$5,630,000",2001,1994,1,4,SF,Connecticut
Erick Dampier,80,"$5,610,000",2001,1996,1,10,C,Mississippi State
Wesley Person,81,"$5,600,000",2001,1994,1,23,SG,Auburn
Chris Gatling,82,"$5,550,000",2001,1991,1,16,PF,Old Dominion
Ron Mercer,84,"$5,520,000",2001,1997,1,6,SF,Kentucky
Antonio Davis,86,"$5,500,000",2001,1990,2,45,F/C,UTEP
Steve Nash,86,"$5,500,000",2001,1996,1,15,G,Santa Clara
Isaac Austin,86,"$5,500,000",2001,1991,2,48,C,Arizona State
Derrick McKey,88,"$5,400,000",2001,1987,1,9,SF/PF,Alabama
Jim McIlvaine,88,"$5,400,000",2001,1994,2,32,C,Marquette
Kelvin Cato,90,"$5,330,000",2001,1997,1,15,C,Iowa State
Jerry Stackhouse,91,"$5,310,000",2001,1995,1,3,SG,North Carolina
Sean Elliott,92,"$5,300,000",2001,1989,1,3,SF/SG,Arizona 
Austin Croshere,92,"$5,300,000",2001,1997,1,12,PF,Providence
Greg Ostertag,94,"$5,200,000",2001,1995,1,28,C,Kansas
Charlie Ward,95,"$5,040,000",2001,1994,1,26,PG,Florida State
Lorenzen Wright,96,"$4,950,000",2001,1996,1,7,C,Memphis
Loy Vaught,97,"$4,812,025",2001,1990,1,13,PF,Michigan
Robert Horry,99,"$4,800,000",2001,1992,1,11,SF,Alabama 
Mookie Blaylock,99,"$4,800,000",2001,1989,1,12,PG,Oklahoma 
Chris Mills,99,"$4,800,000",2001,1993,1,22,SF,Arizona
Hersey Hawkins,101,"$4,760,000",2001,1988,1,6,SG,Bradley
Chris Mullin,103,"$4,650,000",2001,1985,1,7,SF,St. John's
Bobby Phills,104,"$4,640,000",2001,1991,2,45,SG,Southern
Bryon Russell,105,"$4,570,000",2001,1993,2,45,SF,Long Beach State
Tariq Abdul-Wahad,106,"$4,500,000",2001,1997,1,11,SF,San Jose State
Bob Sura,108,"$4,390,000",2001,1995,1,17,SG,Florida State
Jason Caffey,109,"$4,380,000",2001,1995,1,20,PF,Alabama
Brent Barry,110,"$4,320,000",2001,1995,1,15,SG,Oregon State
Vitaly Potapenko,112,"$4,290,000",2001,1996,1,12,C,Wright State
Walt Williams,114,"$4,250,000",2001,1992,1,7,SF,Maryland 
Brevin Knight,114,"$4,250,000",2001,1997,1,16,PG,Stanford
Howard Eisley,114,"$4,250,000",2001,1994,2,30,PG,Boston College
Dan Majerle,117,"$4,050,000",2001,1988,1,14,SF,Central Michigan
Duane Causwell,119,"$4,000,000",2001,1990,1,18,C,Temple
Sam Cassell,119,"$4,000,000",2001,1993,1,24,PG,Florida State
Danny Fortson,122,"$3,950,000",2001,1997,1,10,PF,Cincinnati
Corliss Williamson,123,"$3,940,000",2001,1995,1,13,PF,Arkansas
Cedric Ceballos,124,"$3,937,500",2001,1990,2,48,F,Cal State Fullerton
Jahidi White,125,"$3,922,000",2001,1998,2,43,F/C,Georgetown
Cuttino Mobley,127,"$3,920,000",2001,1998,2,41,SG,Rhode Island
Rashard Lewis,127,"$3,920,000",2001,1998,2,32,PF,Alief Elsik HS
Scot Pollard,127,"$3,920,000",2001,1997,1,19,C,Kansas
Eric Williams,129,"$3,890,000",2001,1995,1,14,SF,Providence
Voshon Lenard,130,"$3,780,000",2001,1994,2,46,SG,Minnesota
Nick Anderson,131,"$3,750,000",2001,1989,1,11,SF/SG,Illinois 
Dana Barros,132,"$3,700,000",2001,1989,1,16,PG,Boston College 
Michael Olowokandi,133,"$3,697,440",2001,1998,1,1,C,Pacific
Doug West,134,"$3,680,000",2001,1989,2,38,G/F,Villanova 
Kurt Thomas,134,"$3,680,000",2001,1995,1,10,PF/C,TCU
Elton Brand,136,"$3,629,160",2001,1999,1,1,PF/C,Duke
Adonal Foyle,137,"$3,580,000",2001,1997,1,8,C,Colgate
Mark Jackson,138,"$3,570,000",2001,1987,1,18,PG,St. John's
Kenyon Martin,139,"$3,536,640",2001,2000,1,1,PF,Cincinnato (Sr.)
Derek Strong,141,"$3,510,000",2001,1990,2,47,F,Xavier
Travis Best,143,"$3,500,000",2001,1995,1,23,PG,Georgia Tech
Rex Chapman,143,"$3,500,000",2001,1988,1,8,SG,Kentucky
Greg Anthony,143,"$3,500,000",2001,1991,1,12,PG,UNLV
Rick Fox,145,"$3,400,000",2001,1991,1,24,SF,North Carolina
Adam Keefe,146,"$3,390,000",2001,1992,1,10,PF,Stanford 
Derek Fisher,148,"$3,380,000",2001,1996,1,24,G,Arkansas-Little Rock
Eric Snow,148,"$3,380,000",2001,1995,2,43,PG,Michigan State
Lamond Murray,148,"$3,380,000",2001,1994,1,7,SF,California
Mike Bibby,150,"$3,308,160",2001,1998,1,2,PG,Arizona
Jud Buechler,151,"$3,260,000",2001,1990,2,38,F/G,Arizona
Steve Francis,152,"$3,246,960",2001,1999,1,2,PG,Maryland
Greg Minor,153,"$3,240,000",2001,1994,1,25,SG,Louisville
Travis Knight,154,"$3,200,000",2001,1996,1,29,C,Connecticut
Tony Battie,154,"$3,200,000",2001,1997,1,5,C/F,Texas Tech
Don MacLean,156,"$3,178,500",2001,1992,1,19,PF,UCLA 
Stromile Swift,157,"$3,164,280",2001,2000,1,2,PF/C,LSU
Doug Christie,158,"$3,140,000",2001,1992,1,17,SG,Pepperdine 
Tracy Murray,160,"$3,060,000",2001,1992,1,18,SF,UCLA 
Mark Bryant,161,"$3,029,268",2001,1988,1,21,PF,Seton Hall
Raef LaFrentz,164,"$2,970,840",2001,1998,1,3,C/F,Kansas
Samaki Walker,165,"$2,960,000",2001,1996,1,9,F,Louisville
Baron Davis,166,"$2,916,000",2001,1999,1,3,PG,UCLA
Brent Price,168,"$2,880,000",2001,1992,2,32,G,Oklahoma
Dean Garrett,168,"$2,880,000",2001,1988,2,38,C,Indiana
Jerome Williams,170,"$2,870,000",2001,1996,1,26,F,Georgetown
Kevin Willis,170,"$2,870,000",2001,1984,1,11,F/C,Michigan State
Darius Miles,173,"$2,841,720",2001,2000,1,3,SF/PF,East St. Louis HS (Illinois)
Antonio Daniels,174,"$2,820,000",2001,1997,1,4,PG,Bowling Green
Popeye Jones,175,"$2,812,500",2001,1992,2,41,F,Murray State
Anthony Peeler,176,"$2,740,000",2001,1992,1,15,SG,Missouri 
Jon Barry,177,"$2,730,000",2001,1992,1,21,SG,Georgia Tech 
Ervin Johnson,179,"$2,700,000",2001,1993,1,23,C,New Orleans
Lawrence Funderburke,179,"$2,700,000",2001,1994,2,51,PF,Ohio State
Cedric Henderson,179,"$2,700,000",2001,1986,2,32,PF,Georgia
Cedric Henderson,179,"$2,700,000",2001,1997,2,44,PF,Memphis
Antawn Jamison,181,"$2,678,400",2001,1998,1,4,F,North Carolina
Walter McCarty,182,"$2,670,000",2001,1996,1,19,F,Kentucky
Lindsey Hunter,183,"$2,650,000",2001,1993,1,10,PG,Jackson State
Lamar Odom,184,"$2,628,960",2001,1999,1,4,PF/SF,Rhode Island
Malik Rose,185,"$2,570,000",2001,1996,2,44,F,Drexel
Vernon Maxwell,185,"$2,570,000",2001,1988,2,47,SG,Florida
Marcus Fizer,187,"$2,562,000",2001,2000,1,4,PF/SF,Iowa State
Vince Carter,190,"$2,425,440",2001,1998,1,5,G/F,North Carolina
Terry Mills,193,"$2,400,000",2001,1990,1,16,SF,Michigan
Gary Trent,193,"$2,400,000",2001,1995,1,11,PF,Ohio
Jonathan Bender,195,"$2,380,680",2001,1999,1,5,PF,Picayune Memorial HS
Chris Whitney,196,"$2,370,000",2001,1993,2,47,PG,Clemson
Mike Miller,199,"$2,320,080",2001,2000,1,5,SF/SG,Florida
Dale Ellis,200,"$2,290,000",2001,1983,1,9,SG,Tennessee
Bimbo Coles,208,"$2,250,000",2001,1990,2,40,G,Virginia Tech
Othella Harrington,208,"$2,250,000",2001,1996,2,30,F/C,Georgetown
Randy Brown,208,"$2,250,000",2001,1991,2,31,PG,New Mexico State
Joe Smith,208,"$2,250,000",2001,1995,1,1,PF,Maryland
Maurice Taylor,208,"$2,250,000",2001,1997,1,14,PF,Michigan
Sam Perkins,208,"$2,250,000",2001,1984,1,4,F/C,North Carolina
Brian Shaw,208,"$2,250,000",2001,1988,1,24,SG,UC Santa Barbara
Chauncey Billups,208,"$2,250,000",2001,1997,1,3,PG,Colorado
Tony Delk,208,"$2,250,000",2001,1996,1,16,G,Kentucky
Will Perdue,208,"$2,250,000",2001,1988,1,11,C,Vanderbilt
Bobby Jackson,208,"$2,250,000",2001,1997,1,23,PG,Minnesota
Derek Anderson,208,"$2,250,000",2001,1997,1,13,SG,Kentucky
Eric Montross,216,"$2,240,000",2001,1994,1,9,C,North Carolina
Robert Traylor,217,"$2,203,080",2001,1998,1,6,F/C,Michigan
George McCloud,228,"$2,200,000",2001,1989,1,7,SG/SF,Florida State 
Michael Smith,228,"$2,200,000",2001,1989,1,13,PF,BYU 
Terry Porter,228,"$2,200,000",2001,1985,1,24,PG,Wisconsin–Stevens Point
Rodney Rogers,228,"$2,200,000",2001,1993,1,9,PF,Wake Forest
Jamie Feick,228,"$2,200,000",2001,1996,2,48,F,Michigan State
Chris Crawford,228,"$2,200,000",2001,1997,2,50,SF,Marquette
Steve Kerr,228,"$2,200,000",2001,1988,2,50,PG,Arizona
Otis Thorpe,228,"$2,200,000",2001,1984,1,9,F/C,Providence
Calbert Cheaney,228,"$2,200,000",2001,1993,1,6,SG/SF,Indiana
John Wallace,228,"$2,200,000",2001,1996,1,18,F,Syracuse
Terry Cummings,228,"$2,200,000",2001,1982,1,2,PF,DePaul
Carlos Rogers,228,"$2,200,000",2001,1994,1,11,SF,Tennessee State
Shandon Anderson,228,"$2,200,000",2001,1996,2,54,F,Georgia
Eric Piatkowski,228,"$2,200,000",2001,1994,1,15,SG,Nebraska
Ron Harper,228,"$2,200,000",2001,1986,1,8,SF,Miami (OH)
Grant Long,228,"$2,200,000",2001,1988,2,33,F,Eastern Michigan
George Lynch,228,"$2,200,000",2001,1993,1,12,SF,North Carolina
Detlef Schrempf,228,"$2,200,000",2001,1985,1,8,SF/PF,Washington
Olden Polynice,228,"$2,200,000",2001,1987,1,8,C,Virginia
Michael Smith,228,"$2,200,000",2001,1994,2,35,F,Providence
Wally Szczerbiak,239,"$2,162,280",2001,1999,1,6,SG/SF,Miami (OH)
Sean Rooks,241,"$2,160,000",2001,1992,2,30,PF/C,Arizona
Lucious Harris,241,"$2,160,000",2001,1993,2,28,PG,Long Beach State
Cory Alexander,241,"$2,160,000",2001,1995,1,29,PG,Virginia
DerMarr Johnson,243,"$2,107,200",2001,2000,1,6,SG/SF,Cincinnati
Clarence Weatherspoon,248,"$2,100,000",2001,1992,1,9,PF,Southern Miss 
Hubert Davis,248,"$2,100,000",2001,1992,1,20,SG,North Carolina 
John Williams,248,"$2,100,000",2001,1986,1,12,PF,LSU
Billy Owens,248,"$2,100,000",2001,1991,1,3,SF,Syracuse
Eric Murdock,248,"$2,100,000",2001,1991,1,21,PG,Providence
Cherokee Parks,248,"$2,100,000",2001,1995,1,12,C,Duke
Alvin Williams,248,"$2,100,000",2001,1997,2,47,PG,Villanova
Jason Williams,253,"$2,011,080",2001,1998,1,7,PG,Florida
Dell Curry,254,"$2,000,000",2001,1986,1,15,SG/SF,Virginia Tech
Johnny Newman,254,"$2,000,000",2001,1986,2,29,SF,Richmond
Richard Hamilton,256,"$1,973,880",2001,1999,1,7,SG/SF,Connecticut
Chris Mihm,257,"$1,923,600",2001,2000,1,7,C/PF,Texas
Andrew DeClercq,258,"$1,920,000",2001,1995,2,34,PF/C,Florida
James Robinson,260,"$1,870,000",2001,1993,1,21,SG,Alabama
Larry Hughes,261,"$1,842,480",2001,1998,1,8,SG,Saint Louis
Aaron McKie,262,"$1,818,000",2001,1994,1,17,SG,Temple
Andre Miller,263,"$1,808,400",2001,1999,1,8,PG,Utah
Jamal Crawford,264,"$1,762,320",2001,2000,1,8,SG,Michigan
Greg Foster,265,"$1,760,000",2001,1990,2,35,F/C,UTEP
Muggsy Bogues,268,"$1,740,000",2001,1987,1,12,PG,Wake Forest
Dirk Nowitzki,270,"$1,693,560",2001,1998,1,9,PF,DJK Würzburg
Shawn Marion,271,"$1,662,240",2001,1999,1,9,SF/PF,UNLV
Joel Przybilla,272,"$1,619,880",2001,2000,1,9,C,Minnesota
Paul Pierce,273,"$1,608,840",2001,1998,1,10,G/F,Kansas
Jason Terry,274,"$1,579,080",2001,1999,1,10,SG/PG,Arizona
Keyon Dooling,275,"$1,538,880",2001,2000,1,10,SG,Missouri
Bonzi Wells,276,"$1,528,440",2001,1998,1,11,G/F,Ball State
Trajan Langdon,277,"$1,500,120",2001,1999,1,11,SG,Duke
Jacque Vaughn,278,"$1,500,000",2001,1997,1,27,PG,Kansas
Michael Doleac,281,"$1,452,000",2001,1998,1,12,C,Utah
Etan Thomas,283,"$1,388,880",2001,2000,1,12,PF/C,Syracuse
Keon Clark,284,"$1,379,400",2001,1998,1,13,F/C,UNLV
Tony Massenburg,285,"$1,360,000",2001,1990,2,43,F,Maryland
Corey Maggette,286,"$1,353,960",2001,1999,1,13,SF/SG,Duke
Corie Blount,287,"$1,320,000",2001,1993,1,25,PF,Cincinnati
Courtney Alexander,288,"$1,319,400",2001,2000,1,13,SG,Fresno State
